"num" "character" "dialogue"
"182" "ANNOUNCER" "The first transport is away."
"183" "DACK" "Feeling all right, sir?"
"184" "LUKE" "Just like new, Dack. How about you?"
"185" "DACK" "Right now I feel I could take on the whole Empire myself."
"186" "LUKE" "I know what you mean."
"187" "TRENCH OFFICER" "Echo Station Three-T-Eight."
"188" "TRENCH OFFICER" "We have spotted Imperial walkers!"
"189" "CONTROLLER" "Imperial walkers on the north ridge."
"190" "LUKE" "Echo station Five-Seven. We're on our way."
"191" "LUKE" "All right, boys, keep tight now."
"192" "DACK" "Luke, I have no approach vector. I'm not set."
"193" "LUKE" "Steady, Dack. Attack pattern delta. Go now!"
"194" "LUKE" "All right, I'm coming in."
"195" "LUKE" "Hobbie, you still with me?"
"196" "LUKE" "That armor's too strong for blasters."
"197" "LUKE" "Rouge Group, use your harpoons and tow cables. Go  for the legs. It might be our only chance of stopping them.  All right, stand by, Dack."
"198" "DACK" "Luke, we've got a malfunction in fire control. I'll have to cut  in the auxiliary."
"199" "LUKE" "Just hang on. Hang on, Dack. Get ready to fire that tow cable."
"200" "LUKE" "Dack? Dack!"
"201" "VEERS" "Yes, Lord Vader. I've reached the main power generator. The  shield will be down in moments. You may start your landing."
"202" "LUKE" "Rouge Three."
"203" "WEDGE" "Copy, Rouge Leader"
"204" "LUKE" "Wedge, I've lost my gunner. You'll have to make  this shot. I'll cover for you. Set your harpoon. Follow me on the next pass."
"205" "WEDGE" "Coming around, Rouge Leader."
"206" "LUKE" "Steady, Rouge Two"
"207" "WEDGE" "Activate harpoon."
"208" "WEDGE" "Good shot, Janson."
"209" "WEDGE" "One more pass."
"210" "JANSON" "Coming around. Once more."
"211" "JANSON" "One more."
"212" "JANSON" "Cable out! Let her go!"
"213" "WEDGE" "Detach cable."
"214" "JANSON" "Cable detached."
"215" "TRENCH OFFICER" "Come on!"
"216" "WEDGE" "Whooha!! That got him!"
"217" "LUKE" "I see it, Wedge. Good work."
"218" "RIEEKAN" "I don't think we can protect two transports at a time."
"219" "LEIA" "It's risky, but we can't hold out much longer. We have no  choice."
"220" "RIEEKAN" "Launch patrols."
"221" "LEIA" "Evacuate remaining ground staff."
"222" "HAN" "No, no! No! This one goes there, that one goes there. right?"
"223" "THREEPIO" "Artoo, you take good care of Master Luke now, understand?  And...do take care of yourself. Oh, dear, oh, dear."
"224" "VEERS" "All troops will debark for ground assault. Prepare to target  the main generator."
"225" "LUKE" "Rouge Two, are you all right?"
"226" "ZEV" "Yeah. I'm with you, Rouge Leader."
"227" "LUKE" "We'll set harpoon. I'll cover for you."
"228" "ZEV" "Coming around."
"229" "LUKE" "Watch that cross fire, boys."
"230" "ZEV" "Set for position three.  Steady."
"231" "LUKE" "Stay tight and low."
"232" "LUKE" "Hobbie, I've been hit!"
"233" "HAN" "You all right?"
"234" "LEIA" "Why are you still here?"
"235" "HAN" "I heard the command center had been hit."
"236" "LEIA" "You got your clearance to leave."
"237" "HAN" "Don't worry. I'll leave. First I'm going to get you to your ship."
"238" "THREEPIO" "Your Highness, we must take this last transport. It's our  only hope."
"239" "LEIA" "Send all troops in sector twelve to the south  slope to protect the fighters."
"240" "ANNOUNCER" "Imperial troops have entered the base."
"241" "HAN" "Come on...that's it."
"242" "LEIA" "Give the evacuation code signal. And get to  your transports!"
"243" "HEAD CONTROLLER" "K-one-zero...all troops disengage."
"244" "THREEPIO" "Oh! Wait for me!"
"245" "OFFICER" "Begin retreat!"
"246" "SECOND OFFICER" "Fall back!"
"247" "VEERS" "Distance to power generators?"
"248" "PILOT" "One-seven, decimal two-eight."
"249" "VEERS" "Target. Maximum fire power."
"250" "HAN" "Transport, this is Solo. Better take off -- I  can't get to you. I'll get the princess out on the Falcon."
"251" "THREEPIO" "But...but...but...where are you going? Uh...come back!!"
"252" "THREEPIO" "Wait! Wait for me! Wait! Stop!"
"253" "THREEPIO" "How typical."
"254" "HAN" "Come on."
"255" "HAN" "Hurry up, goldenrod, or you're going to be a permanent resident!"
"256" "THREEPIO" "Wait! Wait!"
"257" "HAN" "How's this?"
"258" "LEIA" "Would it helped if I got out and pushed?"
"259" "HAN" "It might."
"260" "THREEPIO" "Captain Solo, Captain Solo...sir, might I suggest that  you..."
"261" "THREEPIO" "It can wait."
"262" "LEIA" "The bucket of bolts is never going to get us past that blockade."
"263" "HAN" "This baby's got a few surprises left in her, sweetheart."
"264" "HAN" "Come on! Come on! Switch over. Let's hope we don't have a  burnout."
"265" "HAN" "See?"
"266" "LEIA" "Someday you're going to be wrong, and I hope I'm there to see it."
"267" "HAN" "Punch it!"
"268" "LUKE" "Artoo! Get her ready for takeoff."
"269" "WEDGE" "Good luck, Luke. See you at the rendezvous."
"270" "LUKE" "Don't worry, Artoo. We're going, we're going."
"271" "LUKE" "There's nothing wrong, Artoo. I'm just setting a  new course."
"272" "LUKE" "We're not going to regroup with the others."
"273" "LUKE" "We're going to the Dagobah system."
"274" "LUKE" "Yes, Artoo?"
"275" "LUKE" "That's all right. I'd like to keep it  on manual control for a while."
"276" "HAN" "I saw them! I saw them!"
"277" "LEIA" "Saw what?"
"278" "HAN" "Star Destroyers, two of them, coming right at us."
"279" "THREEPIO" "Sir, sir! Might I suggest..."
"280" "HAN" "Shut him up or shut him down!  Check the  deflector shield!"
"281" "HAN" "Oh, great. Well, we can still outmaneuver them."
"282" "IMPERIAL OFFICER" "Take evasive action!"
"283" "HAN" "Prepare to make the jump to light-speed."
"284" "THREEPIO" "But, sir!"
"285" "LEIA" "They're getting closer!"
"286" "HAN" "Oh yeah? Watch this."
"287" "LEIA" "Watch what?"
"288" "HAN" "I think we're in trouble."
"289" "THREEPIO" "If I may say so, sir, I noticed earlier the hyperdrive  motivator has been damaged. It's impossible to go to light-speed!"
"290" "HAN" "We're in trouble!"
"291" "HAN" "Horizontal boosters...!"
"292" "HAN" "Alluvial dampers...! Well that's not it."
"293" "HAN" "Bring me the hydrospanners!"
"294" "HAN" "I don't know how we're going to get out of this one."
"295" "HAN" "Oww! Chewie!"
"296" "HAN" "That was no laser blast! Something hit us."
"297" "LEIA" "Han, get up here!"
"298" "HAN" "Come on, Chewie!"
"299" "LEIA" "Asteroids!"
"300" "HAN" "Oh, no! Chewie, set two-seven-one."
"301" "LEIA" "What are you doing? You're not actually going into an asteroid  field?"
"302" "HAN" "They'd be crazy to follow us, wouldn't they?"
"303" "LEIA" "You don't have to do this to impress me."
"304" "THREEPIO" "Sir, the possibility of successfully navigating an asteroid  field is approximately three thousand, seven hundred and twenty to one."
"305" "HAN" "Never tell me the odds!"
"306" "HAN" "You said you wanted to be around when I made a mistake; well,  this could be it, sweetheart."
"307" "LEIA" "I take it back. We're going to get pulverized if we stay out  here much longer."
"308" "HAN" "I'm not going to argue with that."
"309" "THREEPIO" "Pulverized?"
"310" "HAN" "I'm going in closer to one of the big ones."
"311" "LEIA" "Closer?"
"312" "THREEPIO" "Closer?!"
"313" "THREEPIO" "Oh, this is suicide!"
"314" "HAN" "There. That looks pretty good."
"315" "LEIA" "What looks pretty good?"
"316" "HAN" "Yeah. That'll do nicely."
"317" "THREEPIO" "Excuse me, ma'am, but where are we going?"
"318" "LEIA" "I hope you know what you're doing."
"319" "HAN" "Yeah, me too."
"320" "LUKE" "Yes, that's it. Dagobah."
"321" "LUKE" "No, I'm not going to change my mind about this.   I'm not picking up any cities or technology. Massive life-form readings, though. There's something alive down there..."
"322" "LUKE" "Yes, I'm sure it's perfectly safe for droids."
"323" "LUKE" "I know, I know! All the scopes are dead. I can't  see a thing! Just hang on, I'm going to start the landing cycle..."
"324" "LUKE" "No, Artoo, you stay put. I'll have a look around."
"325" "LUKE" "Artoo?"
"326" "LUKE" "Artoo! Where are you?"
"327" "LUKE" "Artoo! You be more careful."
"328" "LUKE" "Artoo -- that way!"
"329" "LUKE" "Artoo!"
"330" "LUKE" "Oh, no! Are you all right? Come on. You're lucky you don't taste  very good. Anything broken?"
"331" "LUKE" "If you're saying coming here was a bad idea, I'm beginning to  agree with you. Oh, Artoo, what are we doing here? It's like... something out of a dream, or, I don't know. Maybe I'm just going crazy."
"332" "VADER" "Yes, Admiral?"
"333" "PIETT" "Our ships have sighted the Millennium Falcon, lord. But...it  has entered an asteroid field and we cannot risk..."
"334" "VADER" "Asteroids do not concern me, Admiral. I want  that ship and not excuses."
"335" "PIETT" "Yes, lord."
"336" "HAN" "I'm going to shut down everything but the emergency power  systems."
"337" "THREEPIO" "Sir, I'm almost afraid to ask, but...does that include  shutting me down, too?"
"338" "HAN" "No, I need you to talk to the Falcon, find out what's wrong with  the hyperdrive."
"339" "THREEPIO" "Sir, it's quite possible this asteroid is not entirely  stable."
"340" "HAN" "Not entirely stable? I'm glad you're here to tell us these  things.  Chewie, take the professor in the back and plug him into the hyperdrive."
"341" "THREEPIO" "Oh! Sometimes I just don't understand human behavior. After  all, I'm only trying to do my job in the most..."
"342" "LEIA" "Let go."
"343" "HAN" "Sshh!"
"344" "LEIA" "Let go, please."
"345" "HAN" "Don't get excited."
"346" "LEIA" "Captain, being held by you isn't quite enough to get me excited."
"347" "HAN" "Sorry, sweetheart. We haven't got time for anything else."
"348" "LUKE" "Ready for some power? Okay. Let's see now. Put that in there.  There you go."
"349" "LUKE" "Now all I have to do is find this Yoda...if he even  exists."
"350" "LUKE" "Still...there's something familiar about this place. I feel  like...I don't know..."
"351" "STRANGE VOICE" "Feel like what?"
"352" "LUKE" "Like we're being watched!"
"353" "CREATURE" "Away with your weapon! I mean you no harm."
"354" "CREATURE" "I am wondering, why are you here?"
"355" "LUKE" "I'm looking for someone."
"356" "CREATURE" "Looking? Found someone, you have, I would say, hmmm?"
"357" "LUKE" "Right."
"358" "CREATURE" "Help you I can. Yes, mmmm."
"359" "LUKE" "I don't think so. I'm looking for a great warrior."
"360" "CREATURE" "Ahhh! A great warrior.  Wars not  make one great."
"361" "LUKE" "Put that down. Hey! That's my dinner."
"362" "CREATURE" "How you get so big, eating food of this kind?"
"363" "LUKE" "Listen, friend, we didn't mean to land in that puddle, and if we  could get our ship out, we would, but we can't, so why don't you just..."
"364" "CREATURE" "Aww, cannot get your ship out?"
"365" "LUKE" "Hey, you could have broken this. Don't do that. Ohhh...you're  making a mess. Hey, give me that!"
"366" "CREATURE" "Mine! Or I will help you not."
"367" "LUKE" "I don't want your help. I want my lamp back. I'll need it to get  out of this slimy mudhole."
"368" "CREATURE" "Mudhole? Slimy? My home this is."
"369" "CREATURE" "Ah, ah, ah!"
"370" "LUKE" "Oh, Artoo, let him have it."
"371" "CREATURE" "Mine! Mine!"
"372" "LUKE" "Artoo!"
"373" "CREATURE" "Mine!"
"374" "CREATURE" "Mine!"
"375" "LUKE" "Now will you move along, little fella? We're got a lot  of work to do."
"376" "CREATURE" "No! No, no! Stay and help you, I will.  Find your  friend, hmm?"
"377" "LUKE" "I'm not looking for a friend, I'm looking for a Jedi Master."
"378" "CREATURE" "Oohhh. Jedi Master. Yoda. You seek Yoda."
"379" "LUKE" "You know him?"
"380" "CREATURE" "Mmm. Take you to him, I will.  Yes, yes. But now, we  must eat. Come. Good food. Come."
"381" "CREATURE" "Come, come."
"382" "LUKE" "Stay here and watch after the camp, Artoo."
"383" "THREEPIO" "Oh, where is Artoo when I need him?"
"384" "THREEPIO" "Sir, I don't know where your ship learned to communicate,  but it has the most peculiar dialect. I believe, sir, it says that the power coupling on the negative axis has been polarized. I'm afraid you'll have to replace it."
"385" "HAN" "Well, of course I'll have to replace it."
"386" "HAN" "Here! And Chewie..."
"387" "HAN" "...I think we'd better replace the negative power  coupling."
"388" "HAN" "Hey, Your Worship, I'm only trying to help."
"389" "LEIA" "Would you please stop calling me that?"
"390" "HAN" "Sure, Leia."
"391" "LEIA" "Oh, you make it so difficult sometimes."
"392" "HAN" "I do, I really do. You could be a little nicer, though.  Come on, admit it. Sometimes you think I'm all right."
"393" "LEIA" "Occasionally  maybe...when you aren't  acting like a scoundrel."
"394" "HAN" "Scoundrel? Scoundrel? I like the sound of that."
"395" "LEIA" "Stop that."
"396" "HAN" "Stop what?"
"397" "LEIA" "Stop that! My hands are dirty."
"398" "HAN" "My hands are dirty, too. What are you afraid of?"
"399" "LEIA" "Afraid?"
"400" "HAN" "You're trembling."
"401" "LEIA" "I'm not trembling."
"402" "HAN" "You like me because I'm a scoundrel. There aren't enough  scoundrels in your life."
"403" "LEIA" "I happen to like nice men."
"404" "HAN" "I'm a nice man."
"405" "LEIA" "No, you're not. You're..."
"406" "THREEPIO" "Sir, sir! I've isolated the reverse power flux coupling."
"407" "HAN" "Thank you. Thank you very much."
"408" "THREEPIO" "Oh, you're perfectly welcome, sir."
"409" "NEEDA" "...and that, Lord Vader, was the last time they  appeared in any of our scopes. Considering the amount of damage we've sustained, they must have been destroyed."
"410" "VADER" "No, Captain, they're alive. I want every ship available to  sweep the asteroid field until they are found."
"411" "PIETT" "Lord Vader."
"412" "VADER" "Yes, Admiral, what is it?"
"413" "PIETT" "The Emperor commands you make contact with him."
"414" "VADER" "Move the ship out of the asteroid field so that we can send a  clear transmission."
"415" "PIETT" "Yes, my lord."
"416" "VADER" "What is thy bidding, my master?"
"417" "EMPEROR" "There is a great disturbance in the Force."
"418" "VADER" "I have felt it."
"419" "EMPEROR" "We have a new enemy -- Luke Skywalker."
"420" "VADER" "Yes, my master."
"421" "EMPEROR" "He could destroy us."
"422" "VADER" "He's just a boy. Obi-Wan can no longer help him."
"423" "EMPEROR" "The Force is strong with him. The son of Skywalker must not  become a Jedi."
"424" "VADER" "If he could be turned, he would become a powerful ally."
"425" "EMPEROR" "Yes. Yes. He would be a great asset. Can it be done?"
"426" "VADER" "He will join us or die, my master."
"427" "LUKE" "Look, I'm sure it's delicious. I just don't understand why we  can't see Yoda now."
"428" "CREATURE" "Patience! For the Jedi it is time to eat as well. Eat, eat.  Hot. Good food, hm? Good, hmm?"
"429" "LUKE" "How far away is Yoda? Will it take us long to get there?"
"430" "CREATURE" "Not far. Yoda not far. Patience. Soon you will be with him.   Rootleaf, I cook. Why wish you become Jedi? Hm?"
"431" "LUKE" "Mostly because of my father, I guess."
"432" "CREATURE" "Ah, your father. Powerful Jedi was he, powerful Jedi, mmm."
"433" "LUKE" "Oh, come on. How could you know my father? You  don't even know who I am.  Oh, I don't even know what I'm doing here. We're wasting our time."
"434" "CREATURE" "I cannot teach him. The boy has no patience."
"435" "BEN" "He will learn patience."
"436" "YODA" "Hmmm. Much anger in him, like his father."
"437" "BEN" "Was I any different when you taught me?"
"438" "YODA" "Hah. He is not ready."
"439" "LUKE" "Yoda! I am ready. I...Ben! I can be a Jedi. Ben, tell him I'm  ready."
"440" "YODA" "Ready, are you? What know you of ready? For eight hundred years  have I trained Jedi. My own counsel will I keep on who is to be trained! A Jedi must have the deepest commitment, the most serious mind.  This one a long time have I watched. Never his mind on where he was. Hmm? What he was doing. Hmph. Adventure. Heh! Excitement. Heh! A Jedi craves not these things.  You are reckless!"
"441" "BEN" "So was I, if you'll remember."
"442" "YODA" "He is too old. Yes, too old to begin the training."
"443" "LUKE" "But I've learned so much."
"444" "YODA" "Will he finished what he begins?"
"445" "LUKE" "I won't fail you -- I'm not afraid."
"446" "YODA" "Oh, you will be. You will be."
"447" "THREEPIO" "Sir, if I may venture an opinion..."
"448" "HAN" "I'm not really interested in your opinion, Threepio."
"449" "LEIA" "There's something out there."
"450" "HAN" "Where?"
"451" "LEIA" "Outside, in the cave."
"452" "THREEPIO" "There it is. Listen! Listen!"
"453" "HAN" "I'm going out there."
"454" "LEIA" "Are you crazy?!"
"455" "HAN" "I just got this bucket back together. I'm not going to let  something tear it apart."
"456" "LEIA" "Then I'm going with you."
"457" "THREEPIO" "I think it might be better if I stay here and guard the  ship.  Oh, no."
"458" "LEIA" "This ground sure feels strange. It doesn't feel like rock at  all."
"459" "HAN" "There's an awful lot of moisture in here."
"460" "LEIA" "I don't know. I have a bad feeling about this."
"461" "HAN" "Yeah."
"462" "HAN" "Watch out!"
"463" "HAN" "Yeah, that's what I thought. Mynock. Chewie, check the rest of  the ship, make sure there aren't any more attached. They're chewing on the power cables."
"464" "LEIA" "Mynocks?"
"465" "HAN" "Go on inside. We'll clean them off if there are any more."
"466" "THREEPIO" "Ohhh! Go away! Go away! Beastly thing. Shoo! Shoo!"
"467" "HAN" "Wait a minute..."
"468" "HAN" "All right, Chewie, let's get out of here!"
"469" "LEIA" "The Empire is still out there. I don't think it's wise to..."
"470" "HAN" "No time to discuss this as a committee."
"471" "LEIA" "I am not a committee!"
"472" "LEIA" "You can't make the jump to light-speed in this asteroid field..."
"473" "HAN" "Sit down, sweetheart. We're taking off!"
"474" "THREEPIO" "Look!"
"475" "HAN" "I see it, I see it."
"476" "THREEPIO" "We're doomed!"
"477" "LEIA" "The cave is collapsing."
"478" "HAN" "This is no cave."
"479" "LEIA" "What?"
"480" "YODA" "Run! Yes. A Jedi's strength flows from the Force. But beware of  the dark side. Anger...fear...aggression. The dark side of the Force are they. Easily they flow, quick to join you in a fight. If once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did Obi-Wan's apprentice."
"481" "LUKE" "Vader. Is the dark side stronger?"
"482" "YODA" "No...no...no. Quicker, easier, more seductive."
"483" "LUKE" "But how am I to know the good side from the bad?"
"484" "YODA" "You will know. When you are calm, at peace. Passive. A Jedi uses  the Force for knowledge and defense, never for attack."
"485" "LUKE" "But tell me why I can't..."
"486" "YODA" "No, no, there is no why. Nothing more will I  teach you today. Clear your mind of questions. Mmm. Mmmmmm."
"487" "LUKE" "There's something not right here."
"488" "LUKE" "I feel cold, death."
"489" "YODA" "That place...is strong with the dark side of the Force. A domain  of evil it is. In you must go."
"490" "LUKE" "What's in there?"
"491" "YODA" "Only what you take with you."
"492" "YODA" "Your weapons...you will not need them."
"493" "PIETT" "Bounty hunters. We don't need that scum."
"494" "FIRST CONTROLLER" "Yes, sir."
"495" "PIETT" "Those Rebels won't escape us."
"496" "SECOND CONTROLLER" "Sir, we have a priority signal from the Star  Destroyer Avenger."
"497" "PIETT" "Right."
"498" "VADER" "...there will be a substantial reward for the one who finds  the Millennium Falcon. You are free to use any methods necessary, but I want them alive. No disintegrations."
"499" "BOBA FETT" "As you wish."
"500" "PIETT" "Lord Vader! My lord, we have them."
"501" "THREEPIO" "Oh, thank goodness we're coming out of the asteroid field."
"502" "HAN" "Let's get out of here. Ready for light-speed? One...two...three!"
"503" "HAN" "It's not fair!"
"504" "HAN" "The transfer circuits are working. It's not my fault!"
"505" "LEIA" "No light-speed?"
"506" "HAN" "It's not my fault."
"507" "THREEPIO" "Sir, we just lost the main rear deflector shield. One more  direct hit on the back quarter and we're done for."
"508" "HAN" "Turn her around."
"509" "HAN" "I said turn her around! I'm going to put all power in the front  shield."
"510" "LEIA" "You're going to attack them?!"
"511" "THREEPIO" "Sir, the odds of surviving a direct assault on an Imperial  Star Destroyer..."
"512" "LEIA" "Shut up!"
"513" "NEEDA" "They're moving to attack position. Shields up!"
"514" "NEEDA" "Track them,. They may come around for another pass."
"515" "TRACKING OFFICER" "Captain Needa, the ship no longer appears on our  scopes."
"516" "NEEDA" "They can't have disappeared. No ship that small has a cloaking  device."
"517" "TRACKING OFFICER" "Well, there's no trace of them, sir."
"518" "COMMUNICATIONS OFFICER" "Captain, Lord Vader demands an update on the  pursuit."
"519" "NEEDA" "Get a shuttle ready. I shall assume full  responsibility for losing them, and apologize to Lord Vader. Meanwhile, continue to scan the area."
"520" "COMMUNICATIONS OFFICER" "Yes, Captain Needa."
"521" "YODA" "Use the Force. Yes..."
"522" "YODA" "Now...the stone. Feel it."
"523" "YODA" "Concentrate!"
"524" "LUKE" "Oh, no. We'll never get it out now."
"525" "YODA" "So certain are you. Always with you it cannot be done. Hear you  nothing that I say?"
"526" "LUKE" "Master, moving stones around is one thing. This is totally  different."
"527" "YODA" "No! No different! Only different in your mind. You must unlearn  what you have learned."
"528" "LUKE" "All right, I'll give it a try."
"529" "YODA" "No! Try not. Do. Or do not. There is no try."
"530" "LUKE" "I can't. It's too big."
"531" "YODA" "Size matters not. Look at me. Judge me by my size, do you? Hm?  Mmmm."
"532" "YODA" "And well you should not. For my ally in the Force. And a  powerful ally it is. Life creates it, makes it grow. It's energy surrounds us and binds us. Luminous beings are we......not this crude matter.  You must feel the Force around you.  Here, between you...me...the tree...the rock...everywhere! Yes, even between this land and that ship!"
"533" "LUKE" "You want the impossible."
"534" "LUKE" "I don't...I don't believe it."
"535" "YODA" "That is why you fail."
"536" "VADER" "Apology accepted, Captain Needa."
"537" "PIETT" "Lord Vader, our ships have completed their scan of the area and  found nothing. If the Millennium Falcon went into light-speed, it'll be on the other side of the galaxy by now."
"538" "VADER" "Alert all commands. Calculate every possible destination along  their last know trajectory."
"539" "PIETT" "Yes, my lord. We'll find them."
"540" "VADER" "Don't fail me again, Admiral."
"541" "PIETT" "Alert all commands. Deploy the fleet."
"542" "THREEPIO" "Captain Solo, this time you have gone too far.  No, I will not be quiet, Chewbacca. Why doesn't anyone listen to me?"
"543" "HAN" "The fleet is beginning to break up. Go back and stand  by the manual release for the landing claw."
"544" "THREEPIO" "I really don't see how thats going to help. Surrender is a  perfectly acceptable alternative in extreme circumstances. The Empire may be gracious enough..."
"545" "HAN" "Thank you."
"546" "LEIA" "What did you have in mind for your next move?"
"547" "HAN" "Well, if they follow standard Imperial procedure, they'll dump  their garbage before they go to light-speed, then we just float away."
"548" "LEIA" "With the rest of the garbage. Then what?"
"549" "HAN" "Then we've got to find a safe port somewhere around here. Got any  ideas?"
"550" "LEIA" "No. Where are we?"
"551" "HAN" "The Anoat system."
"552" "LEIA" "Anoat system. There's not much there."
"553" "HAN" "No. Well, wait. This is interesting. Lando."
"554" "LEIA" "Lando system?"
"555" "HAN" "Lando's not a system, he's a man. Lando Calrissian. He's a card  player, gambler, scoundrel. You'd like him."
"556" "LEIA" "Thanks."
"557" "HAN" "Bespin. It's pretty far, but I think we can make it."
"558" "LEIA" "A mining colony?"
"559" "HAN" "Yeah, a Tibanna gas mine. Lando conned somebody out of it. We go  back a long way, Lando and me."
"560" "LEIA" "Can you trust him?"
"561" "HAN" "No. But he has no love for the Empire, I can tell you that."
"562" "HAN" "Here we go, Chewie. Stand by. Detach!"
"563" "LEIA" "You do have your moments. Not many, but you have them."
"564" "YODA" "Concentrate...feel the Force flow. Yes. Good. Calm, yes. Through  the Force, things you will see. Other places. The future...the past. Old friends long gone."
"565" "LUKE" "Han! Leia!"
"566" "YODA" "Hmm. Control, control. You must learn control."
"567" "LUKE" "I saw...I saw a city in the clouds."
"568" "YODA" "Mmm. Friends you have there."
"569" "LUKE" "They were in pain."
"570" "YODA" "It is the future you see."
"571" "LUKE" "Future? Will they die?"
"572" "YODA" "Difficult to see. Always in motion is the future."
"573" "LUKE" "I've got to go to them."
"574" "YODA" "Decide you must how to serve them best. If you leave now, help  them you could. But you would destroy all for which they have fought and suffered."
"575" "HAN" "No, I don't have a landing permit. I'm trying  to reach Lando Calrissian."
"576" "HAN" "Whoa! Wait a minute! Let me explain."
"577" "INTERCOM VOICE" "You will not deviate from your present course."
"578" "THREEPIO" "Rather touchy, aren't they?"
"579" "LEIA" "I thought you knew this person."
"580" "HAN" "Well, that was a long time ago. I'm sure he's  forgotten about that."
"581" "INTERCOM VOICE" "Permission granted to land on Platform  Three-two-seven."
"582" "HAN" "Thank you."
"583" "HAN" "There's nothing to worry about. We go way back, Lando and me."
"584" "LEIA" "Who's worried?"
"585" "THREEPIO" "Oh. No one to meet us."
"586" "LEIA" "I don't like this."
"587" "HAN" "Well, what would you like?"
"588" "THREEPIO" "Well, they did let us land."
"589" "HAN" "Look, don't worry. Everything's going to be fine. Trust me."
"590" "HAN" "See? My friend.  Keep your eyes open, okay?"
"591" "LANDO" "Why, you slimy, double-crossing, no-good swindler! You've got a  lot of guts coming here, after what you pulled."
"592" "LANDO" "How you doing, you old pirate? So good to see you! I  never thought I'd catch up with you again. Where you been?"
"593" "THREEPIO" "Well, he seems very friendly."
"594" "LEIA" "Yes...very friendly."
"595" "LANDO" "What are you doing here?"
"596" "HAN" "Ahh...repairs. I thought you could  help me out."
"597" "LANDO" "What have you done to my ship?"
"598" "HAN" "Your ship? Hey, remember, you lost her to me fair and square."
"599" "LANDO" "Hello. What have we here? Welcome. I'm Lando Calrissian. I'm  the administrator of this facility. and who might you be?"
"600" "LEIA" "Leia."
"601" "LANDO" "Welcome, Leia."
"602" "HAN" "All right, all right, you old smoothie."
"603" "THREEPIO" "Hello, sir. I am See-Threepio, human-cyborg relations. My  facilities are at your..."
"604" "THREEPIO" "Well, really!"
"605" "LANDO" "What's wrong with the Falcon?"
"606" "HAN" "Hyperdrive."
"607" "LANDO" "I'll get my people to work on it."
"608" "HAN" "Good."
"609" "LANDO" "You know, that ship saved my life quite a few times. She's the  fastest hunk of junk in the galaxy."
"610" "HAN" "How's the gas mine? Is it paying off for you?"
"611" "LANDO" "Oh, not as well as I'd like. We're a small outpost and not very  self-sufficient. And I've had supply problems of every kind. I've had labor difficulties... What's so funny?"
"612" "HAN" "You. Listen to you -- you sound like a businessman, a responsible  leader. Who'd have thought that, huh?"
"613" "LANDO" "You know, seeing you sure brings back a few things."
"614" "HAN" "Yeah."
"615" "LANDO" "Yeah, I'm responsible these days. It's the  price you pay for being successful."
"616" "THREEPIO" "Oh! Nice to see a familiar face."
"617" "SECOND THREEPIO" "E chu ta!"
"618" "THREEPIO" "How rude!"
"619" "THREEPIO" "That sounds like an R2 unit in there. I wonder if..."
"620" "THREEPIO" "Hello? How interesting. Oh, my."
"621" "MAN" "Who are you?"
"622" "THREEPIO" "Oh, I'm terribly sorry. I...I didn't mean to intrude. No,  no, please don't get up. No!"
"623" "YODA" "Luke! You must complete the training."
"624" "LUKE" "I can't keep the vision out of my head. They're my friends. I've  got to help them."
"625" "YODA" "You must not go!"
"626" "LUKE" "But Han and Leia will die if I don't."
"627" "BEN" "You don't know that."
"628" "BEN" "Even Yoda cannot see their fate."
"629" "LUKE" "But I can help them! I feel the Force!"
"630" "BEN" "But you cannot control it. This is a dangerous time for you, when  you will be tempted by the dark side of the Force."
"631" "YODA" "Yes, yes. To Obi-Wan you listen. The cave. Remember your failure  at the cave!"
"632" "LUKE" "But I've learned so much since then. Master Yoda, I promise to  return and finish what I've begun. You have my word."
"633" "BEN" "It is you and your abilities the Emperor wants. that is why your  friends are made to suffer."
"634" "LUKE" "And that is why I have to go."
"635" "BEN" "Luke, I don't want to lose you to the Emperor the way I lost  Vader."
"636" "LUKE" "You won't."
"637" "YODA" "Stopped they must be. On this depends. Only a fully trained Jedi  Knight with the Force as his ally will conquer Vader and his Emperor. If you end your training now, if you choose the quick and easy path, as Vader did, you will become an agent of evil."
"638" "BEN" "Patience."
"639" "LUKE" "And sacrifice Han and Leia?"
"640" "YODA" "If you honor what they fight for...yes!"
"641" "BEN" "If you choose to face Vader, you will do it alone. I cannot  interfere."
"642" "LUKE" "I understand.  Artoo, fire up the  converters."
"643" "BEN" "Luke, don't give in to hate -- that leads to the dark side."
"644" "YODA" "Strong is Vader. Mind what you have learned. Save you it can."
"645" "LUKE" "I will. And I'll return. I promise."
"646" "YODA" "Told you, I did. Reckless is he. Now matters are worse."
"647" "BEN" "That boy is our last hope."
"648" "YODA" "No. There is another."
"649" "HAN" "The ship is almost finished. Two or Three more things and we're  in great shape."
"650" "LEIA" "The sooner the better. Something's wrong here. No one has seen  or knows anything about Threepio. He's been gone too long to have gotten lost."
"651" "HAN" "Relax. I'll talk to Lando and see what I can find out."
"652" "LEIA" "I don't trust Lando."
"653" "HAN" "Well, I don't trust him, either. But he is my friend. Besides,  we'll soon be gone."
"654" "LEIA" "And then you're as good as gone, aren't you?"
"655" "LEIA" "What happened?"
"656" "HAN" "Where? Found him in a junk pile?"
